IT Corporation,,,,,,,,,,,,
Profit and Loss,,,,,,,,,,,,
"1 March-30 June, 2026",,,,,,,,,,,,

,CB/TB,Carol,Colin,Heinz,KP/CM,Kevin,Matt,Matt/TB,SG,Tarryn,Not specified,Total
Income,,,,,,,,,,,,
In - IT Corp,,,,,,,,,,,,
Total for VOIP,R0.00,R0.00,R0.00,"R6,400.00",R0.00,"R2,075.00","R3,000.00","R3,600.00",R0.00,R0.00,"R187,374.53","R202,449.53"
Total for In - IT Corp,"R9,100.00","R12,059.00","R46,830.86","R184,045.00","R15,515.50","R169,237.67","R3,000.00","R209,817.00","R402,394.97","R38,632.57","R3,850,313.60","R4,940,946.17"
Sales,,,,,R0.00,,,,,,,R0.00
Total for Income,"R9,100.00","R12,059.00","R46,830.86","R184,045.00","R15,515.50","R169,237.67","R3,000.00","R209,817.00","R402,394.97","R38,632.57","R3,850,313.60","R4,940,946.17"
Cost of Sales,,,,,,,,,,,,
COGS - IT Corp,,,,,,,,,,,,
Cabling,,,,,,,,,,,,
Cabinet,,,,,,"1,225.00",,,,,950.00,"2,175.00"
Network Data Point,,,550.00,"1,200.00",,"2,450.00",,,,,"2,450.00","6,650.00"
Total for Cabling,R0.00,R0.00,R550.00,"R1,200.00",R0.00,"R3,675.00",R0.00,R0.00,R0.00,R0.00,"R3,400.00","R8,825.00"
Cloud,,,,,,,,,,,"41,015.88","41,015.88"
A3 Licence,,,,,,,,,,,"3,093.16","3,093.16"
Hosted Ex,,,,,,,,,,,128.13,128.13
Microsoft Defencer for Office 365 (Plan 1),,,,,,,,,,,"1,894.05","1,894.05"
Office 365,,,,,,,,,,,975.48,975.48
Office 365 Apps for Business,,,,,,,,,,,"3,454.97","3,454.97"
Office 365 Business,,,,,,,,,,,"535,616.73","535,616.73"
Office 365 Business Premium,,,,,,,,,,,"23,026.27","23,026.27"
Office 365 Hosted,,,,,,,,,,,"45,579.20","45,579.20"
Office 365 Personal,,,754.37,752.08,,"1,444.30",,,"9,822.23","2,985.26",,"15,758.24"
Office 365 Teams,,,,,,,,,,,"6,521.96","6,521.96"
Total for Cloud,R0.00,R0.00,R754.37,R752.08,R0.00,"R1,444.30",R0.00,R0.00,"R9,822.23","R2,985.26","R661,305.83","R677,064.07"
H/W,,,,,,,,,,,,
Backup Drives,,,,,,,,,39.00,,,39.00
Cables,,,695.00,,,,,"2,844.30",,,745.00,"4,284.30"
CCTV,,,,453.00,,,,,,,,453.00
Computer Chassis,,,,,,"1,539.00",,,,,399.00,"1,938.00"
CPU,,,,,,"6,191.00",,,,,,"6,191.00"
Data Projector,,,398.26,,,,,,,,,398.26
Graphics Card,,,,,,,,,"12,658.00",,"29,639.00","42,297.00"
Hard Drives,,,"5,795.00",679.00,,"2,177.00",,"3,466.70","47,717.39",999.00,,"60,834.09"
Headsets,,,,,,,,,,,-122.55,-122.55
Keyboard,,,,320.87,,,,,,,278.00,598.87
Laptop Accessories,,,,741.39,,339.00,,22.00,448.00,608.00,,"2,158.39"
Laptop Batteries,,,,,,,,,"2,949.00","4,494.00",,"7,443.00"
Laptop Carry Bag,152.00,,,,,,,,,,,152.00
Memory,,,,"1,499.00",,"3,950.00",,825.22,"2,648.00",,"3,950.00","12,872.22"
Monitor,,870.00,,"5,754.06",,,,"7,028.44","7,087.72","1,499.00",,"22,239.22"
Motherboard,,,,,,"3,200.00",,,,,,"3,200.00"
Mouse,,,,,,115.63,,,496.27,,,611.90
Network Card,,,,169.00,,,,,,,,169.00
Network Misc,,,371.30,"2,081.74",,492.00,,445.65,"1,987.00",,"4,895.81","10,273.50"
Network Switch,,,"4,989.00","2,355.00",,625.00,,"19,180.00",,,,"27,149.00"
Power Adapter,585.00,,,,,,,139.00,585.00,,,"1,309.00"
Printer,,,,"5,000.00",,,,,,,,"5,000.00"
Printer Cartridge,,,"9,187.00",,,"4,147.00",,,"2,000.00",928.00,,"16,262.00"
PSU,,,136.00,,,136.00,,,,,592.00,864.00
Routers,,"8,351.00",,,,,,550.00,"4,665.00","1,762.00","-1,351.00","13,977.00"
System,,,,,,,,,,,,
Computer Workstation,,"4,955.65",,"17,398.14","4,399.00","9,215.65",,"17,916.95","27,708.08","11,145.96",,"92,739.43"
Laptop,"17,999.13",,"10,150.30","107,189.26",,"47,229.00",,"46,207.39","149,470.40","5,299.13","-8,299.13","375,245.48"
Total for System,"R17,999.13","R4,955.65","R10,150.30","R124,587.40","R4,399.00","R56,444.65",R0.00,"R64,124.34","R177,178.48","R16,445.09","-R8,299.13","R467,984.91"
UPS,,,,859.00,,"3,599.00",,,,,,"4,458.00"
VOIP Phone,"2,923.00",,,,,"9,655.00",,"6,125.00",,,,"18,703.00"
Warranty,,,,"2,263.00",,,,"2,055.65",825.22,,,"5,143.87"
Wireless Access Point,,,"3,975.00","1,750.00",,"2,710.00",,"8,365.00",,,"1,495.00","18,295.00"
Total for H/W,"R21,659.13","R14,176.65","R35,696.86","R148,512.46","R4,399.00","R95,320.28",R0.00,"R115,171.30","R261,284.08","R26,735.09","R32,221.13","R755,175.98"
HaaS,,,,,,,,,,,,
Backup,,,,,,,,,,,"61,648.03","61,648.03"
Hosted Desktop,,,,,,,,,,,"3,913.05","3,913.05"
Hosted Server,,,,,,,,,,,"309,913.84","309,913.84"
Total for HaaS,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R375,474.92","R375,474.92"
Internet,,,,,,,,,,,,
3G Data,,,,,,,,,,,"9,991.24","9,991.24"
ADSL,,,,,,,,,,,,
Fibre Installation,,,,,,,,,,,"11,000.00","11,000.00"
Line Rental,,,,,,,,,,,"207,398.23","207,398.23"
Realm,,,,,,,,,,,726.96,726.96
Static IP (DSL),,,,,,,,,,,"1,057.28","1,057.28"
Total for ADSL,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R220,182.47","R220,182.47"
Domain,,,,,,,,,,,"41,306.29","41,306.29"
Hosting,,,,,,,,,,,283.49,283.49
Registration,,,,,,,,,,,327.83,327.83
Renewal,,,,,,,,,,,"11,950.77","11,950.77"
Total for Domain,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R53,868.38","R53,868.38"
Dyn DNS,,,,,,,,,,,"1,636.99","1,636.99"
Firewall,,,,,,,,,,,,
